,Review,Rating,Date,Restaurant Name
10,"I just went to this restaurant the other day and everything i had was great.. the goat cheese salad is delicious and the lobster bisque as well.. they had some pastas that looked very good as well.. i think is a really nice place to go for lunch.. but with your parents, because it is a little bit expensive.. haha.. but its still very very good.. cant wait to go back..",4,5/25/2006,Atlantic Fish
11,"The calamari with peperocini is the best ever. The kitchen serves food until 11 pm, making this the perfect place to grab an appetizer and drink. Surprisingly, this place has amazing sangria made from scratch infront of your eyes. Review update: I went here for dinner the other week and had to raise to 5 stars. Definitely try the cucumber lobster gazpacho mmm. My sea bass was perfectly pan seared and paired with lobster ravioli on a bed of arugula and spinach yum! My boyfriend could not conquer the ciopino..and if he cant finish it that means it sure is a huge dish. Yeah the place cost a lot (ouch!) but completely worth it.",5,5/26/2006,Atlantic Fish
12,"When I came to Boston to visit my friend for a few days there wer two things on my agenda: visit my friend, and get seafood. We came here and I wasn't sure what to order. I'm a huge seafood junkie so everything looked good. When the waiter came and told me about the special, fresh pan-seared scallops, I was sold. I know it sounds crazy to pay $25 for 5 scallops (even if they were huge), but to this day those were the best scallops I've ever had, at $5 a pop.",5,8/6/2006,Atlantic Fish
13,Pricey but great seafood.  Everyone I went with really enjoyed their food - and most of us aren't even seafood lovers!,4,8/6/2006,Atlantic Fish
14,Came here with extremely high expectations..    Crab cakes : Excellent..  almost all crab with great flavor. Came with corn pudding which was excellent as well.Steamed Maine Lobster :  A bit overcooked.. i like mine really tender. So a bit of a disappointment there.Clam Chowder : So-so. It lacked a strong clam flavor which I deem a necessity.Chilean Sea Bass : So-so..  it was a bit overcooked. I like my chilean sea bass extremely tender. The Lobster Ravioli it came with was so-so.Jumbo Lump Crab Melt Sandwich : Awesome. I'd eat this everyday if I could. The sweet potato fries it came with were great as well.,4,11/13/2006,Atlantic Fish
15,"Solid, reasonably priced seafood.  Not too casual, not too stuffy.",4,12/3/2006,Atlantic Fish
16,"awesome seafood..the crabcakes, mussels and chowda are excellent..decor is classy (wooded and warm) ...service is fairly good...expensive..portions can be bigger..but overall a good experience..",4,12/8/2006,Atlantic Fish
17,"Although the atmosphere and crowd are not exactly my cup of tea, the fish is very good and the service is truly impressive. This is a good one to take the padres to.Oh and apparently their clam chowder is ""award winning"" I though it was so-so.Stay away from the Chilean sea bass....dry and icky....the fillet and lobstah' are great. The raw bar is good but honestly I've had way better.All in all, I am glad I experienced it, but will probably not be back anytime soon.....I would rather spend that much money at a place with more ambiance...",3,12/10/2006,Atlantic Fish
18,"Well, all I can say is, overall, I wasn't all that impressed.I came to Boston looking forward to a fancy pants meal and so we came here as we had heard good things. We shared the nibblies so we could try more things that the menu had to offer and the following is what we tried...Oysters (Don't even get me started on them. They were fine, but they also proved to me that I am allergic to them, since I spent the next 14 hours sick as a dog after eating two of them. Again, no fault of the restaurant I'm sure, but oy, no mas)The award winning clam chowder or chowda as I one in Bahhston would call it :) It was good. I have never judged a clam chowda competition and have only had it a hand full of times in restaurants, but it was tasty and thick and I could taste the potatoes and yeah, it was good. Not jump up and kick your heels amazing, but good.The lobster tail and filet mignon. Okay, I have been to some shady lobster joints in my day and even at those the tails were bigger than what this place offered. Are lobsters just THAT much smaller in Boston? Weird. The filet was most definitely my favorite part of the meal and it was cooked to perfection. The Seabass. Honestly, I don't remember it. That is probably telling you something.The wine. Very good. We got a half bottle and it was a spicy red and deelish. So the wrap up. Overall, nothing was amazing, but the place was super cute, the waitstaff very friendly and cool, the clientele was friendly and some lady ordered the calamari stir fry looking appetizer thingamajig and that looked really good.Would I go back, probably not, but for what it was, I'd give it 3 stars.",3,12/15/2006,Atlantic Fish
19,"Alright, I need a break from work. Rather, I need a break from the guys in the hall putting up new cubes. So, thought I'd continue writing.Atlantic Fish Co is one of the higher end, frou-frou restaurants. Well, that's what it felt like to me, especially when most of the people here were dressed nicely and I seemed like a bum with my jeans and a t-shirt. (And their prices seemed to fit in line with the clientele). Oh well, at least they treated me like I was any other customer, which was nice. Anyways, to the food!The Chowdah? Not really too impressed. Thought it was lacking something that would have made it much better. But what that missing ingredient was, I'm not quite sure. I mean, the clams were fresh and great, but it needed a little extra kick to it overall.My meal was the stuffed shrimp, which was pretty good. My brother's fillet was cooked perfectly, my dad's fish was fresh and delicious with the garlic breadcrumbs. My Ma had a salad, so I didn't try it, but she said it was ""very good"".Anyways, besides the weird faucets in the bathroom that suddenly spit out what felt was near-boiling water, this place overall was great. Service was pretty good as well; turned out our server was a recent transplant from SoCal, so we chummed it up for a bit.I think I'd go back here since I know its good, but I think I'd rather venture out to a new place just to compare.",4,12/20/2006,Atlantic Fish
20,there last week. decent oysters and cherrystones. tried to steal more of the cute little tabasco bottles but got bagged. the stella tasted off and was quickly replaced with my 2nd choice. we had 2 salads both were servicable but on one the greens were a little tired and the dressing too sour. to me this place is mid-level in the Boston seafood scene.,2,12/20/2006,Atlantic Fish
21,"We took my dad and now soon-to-be stepmom here for lunch yesterday. They were staying at the Lenox Hotel across the street, and there are a brazillion eating options in the Back Bay area, but we went to Atlantic because none of us had been there before. Nice ambience and extremely friendly waitstaff. Our waiter was just coming off of training but was very attentive, courteous, and prompt. I ordered steamers for an appetizer, and they were still pretty sandy, which kind of grossed me out. I ordered the lobster roll and it was decent. The fries are skinny skinny, but they were good--your average shoestring fries. I had a Magic Hat #9 on draught and it was yummy. The food was decent, but it's the service and atmosphere that really make the place. I really felt like they treated our party so well. I recommend it if you're in the area and want some good seafood. Bonus: they play the  Rat Pack as musical background.",4,12/30/2006,Atlantic Fish
22,"Although the wait time was extremely lengthy, the experience during the actual dinner more than made for it.  The waitress started off by carefully explaining the menu while making a good recommendation for a dinner wine.  The ambiance of the restaurant consists of plenty  of noise and packed crowds, which is not as desired if one's date is to be a quiet, intimate one.  The food is fabulous in every regard, as the clam chowder and crab bisque were delicious in their cute bread bowls.  My main entrees in the Northern Atlantic salmon and soft shell crab was some of the most juicy and tender I've ever had.  The place is by no means cheap, but its great place to enjoy the best of Boston and surveying the seafood of the Atlantic.",5,2/20/2007,Atlantic Fish
23,"Lets start with the one really big problem with AFC - it's not Legal and not the Capital Grille, but it tries to surf somewhere in between.  AFC is located in the perfect spot on Boylston and has great outdoors seating and the food is good enough - but it misses doing either seafood or classy really well.  This is not to say that the food is subpar or that the place is as rundown as 7 Eleven at 2 AM - but for the money you're spending you should try other places first.",3,3/21/2007,Atlantic Fish
24,"Definitely dug this place for drinks and apps with Natasha. Both the red and pink sangria were delicious (not to mention strong), the service was excellent, and both the calamari and the crab and artichoke dip were fabulous. One star off for some of the low-class patrons here...some 35 year old woman was so trashed she fell on her ass in the middle of the dining room. Go to Foggy Goggle if you want to behave like a drunken moron, this is not the place. It made me wish the management had asked her to leave promptly, instead of allowing her to remain at the bar, screaming her head off about falling down and how drunk she was. Otherwise, this was an amazing spot.",4,4/2/2007,Atlantic Fish
25,"We've been here many times, for lunch & dinner. I've always had a great time here, the atmosphere is fun, and the food and drinks are always good. The fried oyster app is amazing. It comes served in a brown paper bag, which I find so reminiscent of beach vacations. The lobster ravioli are incredible as well. Service here has been terrific, the staff are knowledgable about the menu, and are quick to offer recommendations if asked. Part of the BBRG, it came as no surprise that the service was above average, food consistently good, and wait for a table was at least 90 minutes. We'll be back, definitely.",4,4/7/2007,Atlantic Fish
26,What can I say....the service is excellent.  Not exactly a kid friendly restaurant but the manager went all out to ensure we have a great time with my whole family.  He even went out to buy  a coloring book and water markers set to keep my 2 year old daughter busy.  The staff was extremely attentive.The food was great.  Crab bisque is so smooth and sweet.  Bone-in swordfish is the way to go.  And also the crab cake entree....yum yum.  The reason why I didn't give a five star is because some of the entree came out lukewarm; but I think it's due to our big party.,4,5/22/2007,Atlantic Fish
27,"This place has amazing food. The tuna steak was maybe the best I've ever had. The appetizers I tried were also really good. However, in order to earn the fifth star, the prices at this place need to come way way down.",4,6/5/2007,Atlantic Fish
28,"Really nice interior, great service, and good food.  We were in the mood for lobster, after watching the Phantom's lobster special that Saturday morning, and decided to finally try this place.  It was pretty crowded at 8:45pm but we got to sit right away since we had reservations.  We split one big yummy crab cake as an app and for dinner they made me a lobster roll (even though it's only only the lunch menu) and G got the baked stuffed lobster.  The lobster roll was really yummy but the bread was a little too hard.  The B&G lobster roll was definitely better than this.  The baked stuffed lobster was really good but there was a certain spice in there that didn't belong.  But all of the lobster meat around it was PERFECT and the stuffing was pretty good.  We probably won't go back here as there are many other places to try... but it was a nice Saturday night dinner.",4,6/12/2007,Atlantic Fish
29,"Atmosphere is great, menu is extensive, price is about $12-20 per plate, depending on what you get.  Great place to go with your coworkers to have a meal.",4,6/12/2007,Atlantic Fish
30,"The best part of our meal was the warm bread served before our meal. I'm a sucker for warm, soft bread. I would say that this place isn't bad, but it wasn't really anything special either. We went there with a largish group (6 people) and had no problems getting seated immediately. Actually, the place was pretty empty in the back, although the front (outside) section was completely full. Both the hostess and our waiter were very nice. I had the seared salmon and watercress salad. The salmon had a nice flavor but the salad kind of sucked. I also tried the crab and artichoke dip appetizer which had a lot of crab in it and a nice texture, but still just tasted heavy and creamy. There are a lot of fried foods on the menu and boring sandwiches. Actually, I might have given this place 4 stars if I had liked their menu better, but I had a hard time choosing something which looked delicious, but wasn't $30 or more. (It was lunch, after all.)",3,6/18/2007,Atlantic Fish
31,"The food was good, but expensive. But am I crazy for expecting good service at an expensive place? Our service was terrible, and not just the waiter, but the busboys and manager as well.To start, we came here with a group of seven for a birthday dinner and ordered a few bottles of wine. I'd stupidly forgotten my wallet and they would not serve me, despite the fact everyone at my table was around 30 and (for better or worse) look around 30. I realize that's their job but even when the manager came over after I questioned the waiter she was really quite rude about it. Annoying, but not the end of the evening and I was still anticipating the crab cakes I'd heard so much about.When they brought our appetizers, they had no idea who's was what and seemed very annoyed that we hadn't cleared space for them. We had a similar problem with our entree plates, they didn't know what dish went to who they hadn't cleared our empty appetizer plates, so they just shoved everything into the center of the table, nearly toppling the wine glasses. We also had trouble getting our server to keep our drinks full, bringing new silverware, or getting our bill at the end. I've had better service at IHOP.The Food: I got a grilled calamari appetizer with a ginger sauce, good, but not particularly memorable - it reminded me of a dish I get at my favorite Thai restaurant. I also got the crab cakes ($29) which were great - decent sizes with big lumps of meat, barely any fill, and delicious corn pudding on the side.The place was relatively busy when we went, not a particularly stylish crowd for sure and the decor has a generic chain restaurant feel.For seafood places, I will stick to ECG. I would recommend only going here if you have a crab cake obsession, as it seems overpriced both for the quality of the food (great, not amazing) and quality of service (slow/inept).",1,6/23/2007,Atlantic Fish
32,"The service and management here is FANTASTIC.  We went here for a girfriends birthday and sat out on the patio.  We had some ""special needs"" and all of them were catered to....with smiles.  Our food was fantastic.  They had some good specials on the day we went.  It was very very busy and we still got good service.  All around a very nice little party for our special little girl.",5,6/25/2007,Atlantic Fish
33,"Boyfriend took me here the other night to celebrate the fact that I have very recently fallen off the ""No Food with a Face"" wagon and onto the ""If I can Kill It, I can Grill It"" wagon. ...all i have to say is, God damn it's good to be back. All because of Atlantic Fish. First off, yes, it cost more than Legal Seafood. This by no means makes it expensive in my book. Oysters from the raw bar are competitvely priced as is the majority of the menu. Seriously, for two appetizers, two entrees, and a bottle of wine the bill was extremely reasonable.Tthe food, service, and atmosphere here were all fantastic. Our waiter was very attentive and personable even though the restaurant was PACKED to the brim. I had the jumbo crab cake appetizer and holy good lord was it full of fresh lump crab meat (minimal breading) and seasoned to perfection. Seriously, this is what heaven tastes like. Moving on from that both Boyfriend and I had the pan-seared sea bass (he had the special which I should have gotten). The fish was cooked to perfection and the lobster ravioli that accompanied was so rich it was sinful.",5,6/25/2007,Atlantic Fish
34,"I had a business lunch there today and it was excellent.  We started with shrimp cocktail which features five good sized, perfectly cooked shrimp with horseradish and cocktail sauce.  For lunch I had the tuna tartare burger, which was not truly tartare but lightly seared.  It was served with wasabi mayonnaise and sweet potato fries, both of which were great.  I also had a very good key lime pie for dessert.  Our waiter was excellent and attentive but not overbearing.  All told a very good experience.",4,7/16/2007,Atlantic Fish
35,"This place earns five stars for the crab cakes alone.  Easily the highest crab to bread ratio I've ever seen in a crab cake.Delicious crustaceans aside, Atlantic Fish does very well for itself.  The atmosphere is nice casual, but the decor is honestly not that much fancier than a legal seafood.  The food, however, blows that comparison out of the water (no pun intended).The lobster ravioli is amazing, and the raw bar (while surprisingly limited in selection) is quite good as well.Furthermore, if you're looking to find a nice wine paring with your food, but aren't sure what you like, I suggest that you give their wine flights selection a shot.  You can choose from several prearranged sets of flights (wine samplers if you will) which they helpfully break down on the menu by taste (for the uninitiated) as well as by vineyard and region (for the wine snobs such as myself).Whatever you do, at least get the crab cakes as an appetizer.",5,8/6/2007,Atlantic Fish
36,"Good lord, Mr Waiter - turn it down a notch!  I do not need you to explain each and every facet of the menu to me.  I can read, really I can!We had the Lobster Ravioli (nice), oysters (yum!), and the grilled scallop salad (okay).Overall it wasn't bad, but I'd go someplace else before coming here again.",3,8/15/2007,Atlantic Fish
37,"Eh, it tries too hard to be a fancy fish place when it feels more like kids playing dress up. I don't even remember what I ordered, it was pretty boring. I think I had lobster bisque also- that was pretty good. When the fire alarm starts going off for over 20 minutes, it's probably best to have someone go and turn it off.",4,8/15/2007,Atlantic Fish
38,"When in New England you must eat seafood.  Atlantic Fish Co. serves the best crab cakes I have ever had!  Forget those breadcrumb behemoths you've had elsewhere.  Here you'll find lovely crabcakes with giant luscious chunks of crab and little to no filler.  The lobster roll was great as well - packed with lots of sweet lobstah, and just a touch of mayo.  The only thing I didn't love was its generic hot-dog style bun.  My dining companion ordered the Captain's Platter, which features fried breaded fish, oysters, shrimp, and scallops.  The scallops, shrimp, and fish were fab - the oysters not so much.  But when so much fresh seafood is available, why bother getting it fried?  Aside from the food, the atmosphere is clean and sophisticated.  Our server was extremely attentive, friendly, and helpful.  I would come back to this place in a heartbeat!",5,8/26/2007,Atlantic Fish
39,"My love for crab cakes has been rekindled-- nay, it has been passionately ignited.  Day and night I think about getting my grubby little hands on some of Atlantic Fish Company's crab cakes, but unless you give me $30 bucks, I will have to sit at home clipping coupons until I can garner enough cash to eat here again.  Seriously, where's my $30 bucks?I kid, I kid.  But hey, did I mention the Grilled Scallop Salad they've got here?  It's just magical.  I had a dream that I discovered a sea scallop the size of a Volkswagon Beetle, and in that dream, it tasted just like the scallops we ate at Atlantic.  That's what heaven must be like.",5,8/31/2007,Atlantic Fish
40,"I had read a couple of positive reviews about this place so I decided to check it out with semi-high expectations. For the most part, they were met   but there's always room for improvement especially when compared to Legal Seafood.We started with oysters in the half shell and they were decent although I think we should have gotten the crab cakes.Clam Chowder - ""Award winning."" That's how the chowder described and the only award it should have won was a thumbs down.  I've had better clam chowder up in San Fransisco from a homeless guy selling bread bowls and filling it with clam chowder from 2 liter bottles of Shasta. Delicious!Steamed Maine Lobster - No market prices here since we're in New England. The lobster was steamed perfectly with the right about tenderness. This is the only reason why I gave this place a 4 and not a 3.Decent experience and friendly service, but they could do better.3.5 if the system would allow.",4,9/4/2007,Atlantic Fish
41,"Atlantic Fish Co. was delicious.  The service was friendly and efficient, the ambiance was clean & classic, and the food was classic but not boring.  The bread was awesome, although they served it with those cracker things that I totally despise.  I  ordered the pan-seared Chilean sea bass, and it was perfectly cooked and very fresh.  It was also served with a side of lobster ravioli, which were excellent.  I also ate (stole?) some of my boyfriend's stuffed shrimp.  They, too, were fantastic.  So why only four stars, you ask?  Well, it's pretty pricey, and although the food is fresh and good....it's nothing I daydream about.  So, there you have it - great food that didnt inspire me.  Four stars!",4,9/11/2007,Atlantic Fish
42,"A little pricey, but well worth it for an excellent seafood dinner, especially for a special occasion.  I came here with a group, and we all really enjoyed the food and the service.I had North Atlantic Salmon which was very good.  My friend had the Giant Sea Scallops, and even though I'm not a big scallop fan, I tried her dish, and it was so delicious!  (If you read enough of my reviews, you'll learn that I often ""sample"" my companions' food, you know, for the reviews).  If you enjoy scallops, I highly recommend this entree.",4,10/12/2007,Atlantic Fish
43,"I dine here once a while with my parents.  I rather bring them here than legal seafood.  The seafood here, doesn't matter what we ordered from the menu, is always fresh!  Somehow I don't like the chowder here, too thick and salty.  But other than that, I always like to come here for American seafood.The bar scene is very nice too, although I've never sat there, but seeing and hearing such a polite crowd is enough.I recommend sitting on their patio during warm days, eating and people-watching.",4,10/16/2007,Atlantic Fish
44,"I've been to Atlantic Fish Co. a couple times now and I am still impressed.  The seafood here tops Legal, M&S and other top seafood places in the city.  You can get the usual slab of fish with sides or a seafood entree like shrimp fra diavlo.  My recommendation is to try the lobster ravioli, either as an appetizer or an entree. They're probably the best I've ever had.",5,12/3/2007,Atlantic Fish
45,"When I was 14 in 1995, my family came up to Boston for Christmas.  We wanted clam chowder.  My dad did a little bit of research and found out about Atlantic Fish Company.  We went there, and I had clam chowder in a bread bowl.  Then we visited Boston again in 1999, and went back.  Again, I had the heavenly, heavenly clam chowder in a bread bowl.  Oooh, and fried clams!  MMMM!  Fried clams!I moved here in 2004, and when my in-laws (they're from CA) wanted some good New England seafood, a lightbulb went off in my head.  Atlantic Fish Company!!  We went there, and everyone enjoyed it.  This is now the place we bring out of towners when they want some great seafood.   They always love it.   Another favorite is the lobster ravioli.",5,12/9/2007,Atlantic Fish
46,"In terms of high end dining in Boston, I would place The Atlantic Fish Company in the top ten.  It's not just the fresh and well prepared seafood that separates it from the pack, it's the elegant presentation and personalized service.  And, like a groupie outside a heavy metal concert, it's a sure thing every time.The moment we crossed the threshold into the Atlantic Fish Company, we were swarmed with attention from the staff.  Even before we make it to the hostess stand, someone came to take away our coats and welcome us to the restaurant.  Then, the hostess led us across a classically furnished dining room that mixed dark wood with navy and hunter green decor.  The sumptuous white table clothes, place settings and water and wine glasses arranged on the tables gave the restaurant an air of luxury.  It felt like you could be in a first class dining cabin on the Titanic.   Our waiter introduced himself right away.  He energetically described the menu, pointing out his favorite dishes but then backed off so we could have as much time as we needed to decide.  He did, however, place warm bread on the table that melted in our mouths as we perused the menu.The menu itself changes daily depending on the fresh seafood they have obtained from all corners of the world.  My table had great difficulty deciding on what to order- there were so many fresh, exotic fish to choose from coupled with their signature specialty dishes.  I decided to try something new and ordered the barbecued salmon with corn and shrimp salsa.  Mmmmm- such original and fresh flavor.  The salmon wasn't too heavy nor overly buttered and it was baked, not grilled.  The shrimp salsa was wonderful but disappeared quickly (the shrimp was so good I had to share).  I eyed my dad's scallops with pesto, artichokes and tomatoes that were served in a cream sauce.  It was very tasty and I don't even like scallops!  My mother had the mixed green salad with fruit, nuts and cheese.  The apples in her salad were grilled, yet another detail that separates this restaurant from others around town.  She also had the crab cakes which were delicious.  There are no details about The Atlantic Fish Company that are overlooked- everything is beautifully arranged and cooked to perfection.  There is even a man pushing a cart to swiftly take your finished dishes off the table.  Throughout the entire meal, I don't think we had to ask the waiter for anything- he ensured that our water glasses were constantly topped off, continually asked us if we needed another beer or glass of wine and walked by several times just in case we needed anything.It is compulsory when going out to such a lavish dinner to try out a dessert.  We elected for the carrot cake and it was one of the best pieces of cake I have ever had- just a hint of carrot flavor, rich icing but not overly decadent.    I would definitely recommend the Atlantic Fish Company for a special occasion or a night when you want to treat yourself to the best seafood in Boston.  It puts Legal to shame.",5,12/12/2007,Atlantic Fish
47,"This is a bigger place than it looks from the outside. And it gets loud. We were there on a Saturday night in January, and it was packed. I do get the impression that they are a mid-level restaurant trying to be fancy, but you know what? It doesn't matter. They actually served some really good dishes. They have a Catch Of The Day section where you can get the freshest seafood. We had a stuffed quahog appetizer, which was delicious, but was mostly chorizo stuffing, not enough quahog, in my opinion. I had blackened catfish with a sweet potato mash and grilled asparagus. At $19, it was more than worth it. But I am a big fan of catfish, a cheap fish. My companion had a seared tuna steak, also really good.All in all, we had nothing to complain about other than the noise, which is the result of such a large space. The food was cooked perfectly and was served very quickly. You'll get what you paid for here. I'd give it between 3.5 and 4 stars.",4,1/7/2008,Atlantic Fish
48,"wow! best restaurant experience of our honeymoon hands-down! (there's the short review. read on for the LONG one)our first night in Boston, we had diningin.com deliver us some chowder, crab stew, and mussels. the food was not bad with good portions and definetely fresh seafood. while i'm at it, let me throw out a quick thumbs-up for diningin.com. they only charged $6 to deliver and had the food to us 15 minutes earlier than promised. based on our experience and the reviews of fellow yelpers, we decided to give the restaurant a real shot tonight.i had a reservation, but  the restaurant certainly didn't look too busy to just walk right in and be seated. the hostess had asked for the ocassion when i made the reservation, so we were greeted with a hand-full of 'congratulations' from the staff. nice touch!our server was simply awesome! he knew his stuff, was VERY attentive, and easy to talk to. i normally only tip 15% to anyone regardless of performance, but he was so good i tipped more like 25% AND made a point to compliment him to his manager before leaving.the ambiance of the place is very nice. it's not super-swank  (business casual attire is just fine), but it's classy in a way that doesn't intimidate you into thinking you're way out of your league by being there. at the same time, this isn't the kind of place that's gonna have a bunch of random nautical crap all over the walls, either. it DOES get loud, but not to the point where you can't carry a conversation. oh, and they play big-band/swing music in the background. i LOVE that. bring the kids? well, not the young ones, but otherwise you should be fine.now, the most important part: the food! we started off with the crab cake since it seemed to be a popular one among the yelpers. as far as flavor goes, i have yet to have a better crab cake. however, i was disappointed with the portion (only one big one, good for just two people), especially since the mussels we had a few evenings earlier had a HUGE portion. oh well. for the entree, my wife had the surf n turf (lobster tail and filet). the filet wasn't the most fantastic i have ever tasted, but it certainly was a tender piece of beef (personally, i think she just had them cook it too much). the potatoes it came with were fantastic and the asparagus was pretty good, too. we both LOVED the lobster (i had the 2lb-er). honestly, i don't know how you could screw up lobster, but they certainly didn't. there's no seasoning that i could tell, but it didn't  need it. i had waited the whole trip for a lobster dinner, and i wasn't disappointed!prices are what you would expect for the kind of dinner you're getting. check their website for a sample menu (just be aware that the menu us re-printed daily based on availability) and you won't have sticker shock. wine prices were quite reasonable, in my opinion, with no glass being more than $10 or so.the final touch was the complimentary piece of chocolate cake they threw in for us for our honeymoon. i was honestly blown away at the act alone, and the fact that the cake was the most delicious, rich, moist piece of chocolate cake i've had in a LONG time (including my wedding) didn't hurt either.top notch place! definetely recommended. just be prepared to shell out some coin.",5,1/16/2008,Atlantic Fish
49,"This is an awesome alternative to Legal Seafood.  It's less of a chain than Legal's and I think the food is better.  I first found this place on a really cold night and honestly, any restaurant that got me out of the cold would have been good enough.  They were way better than good enough and I've loved them ever since for being such a nice surprise.  If I spent more time in the area, I'd spend more time at this restaurant.",5,1/19/2008,Atlantic Fish
50,"My husband and i went here for dinner, one night just for fun. Its really good food, i really enjoyed it, but the impression i got from the other reviewers, it wasn't that expensive... It might be because i am from the Midwest and relatively poor but it was expensive! Not insanely so, but 100 bucks for the two of us. I hadn't expected that and i figured i should make sure people know ahead of the time. Oh and the portions are actual proper portion sizes so don't expect a lot of food. Otherwise, it was really good food and i really enjoyed myself. I WILL be bringing my family there whenever they come into town since we can use that as an excuse to spend that much on ourselves. Otherwise, I'm afraid i cant go there as much as i would have liked to... its just too expensive for me and my budget... especially if i cant take the majority of the meal home and make it last for two more days!!!!",4,2/26/2008,Atlantic Fish
51,"Service was great, a little over the top even.  Food was tasty but nothing to write home about and certainly not worth the $100 we spent on dinner (good thing we had a gift certificate).   We had sea scallops and sea bass, and both were fine.  The corn pudding which I got as a side was awesome.",3,3/8/2008,Atlantic Fish
52,"I have never had a bad experience here - ever. The chilean sea bass is to die for, the wait staff is attentive and the atmosphere is classy.",5,3/11/2008,Atlantic Fish
53,"I have been here many times. It's a good place to go if you want something a little higher grade than Legal Seafoods. In all of the times I've been here I've never been impressed. Usually satisfied, but never impressed. The good. The quality of the fish/preparation is usually a bit better than what you get at Legal Seafoods. The ambiance is a little nicer too.The bad. As I said above, I've never been impressed. They're consistently ""good."" I've had a few bad experiences. One time they tried to pass of Pacific (aka Alaskan) halibut as Atlantic... I wasn't pleased. Conclusion. Look, if you're thinking of going to the Legal Seafoods in the Prudential Center consider going here too. I believe it might be a little more expensive but honestly they're pretty comparable price wise. However, the food is usually a little better. Zagat gives them a 22 and from my experience I'd agree. I'd give them a 3.5 stars if I could. They get 3 because they're already rated 4 and also for the halibut fiasco :-)",3,3/15/2008,Atlantic Fish
54,I think this place is great. They bread baskets alone are enough to get me in the door. The food is consistent and good. I enjoy it a lot.,4,3/23/2008,Atlantic Fish
